prerecorded,record (sound or film) in advance.
incorrectly,in a mistaken way; wrongly
incredibly,so extraordinary as to seem impossible;hard to believe; unbelievable
disobedient,refusing to obey rules or someone in authority.
disagreeable,not pleasant or enjoyable; unfriendly and bad-tempered.
refreshment,"a light snack or drink, especially one provided in a public place or at a public event; the giving of fresh mental or physical strength or energy."
unbreakable, Impossible to break; able to withstand rough usage.
declaration,a formal or explicit statement or announcement.
retirement,the action or fact of leaving one's job and ceasing to work; the withdrawal of a jury from the courtroom to decide their verdict.
misdialed,dial a telephone number incorrectly (past tense)
undefined,not clear or not defined.
unhappily,in an unhappy manner.
watchfully,describing someone who keeps an attentive eye on things.
gleefully,in an exuberantly or triumphantly joyful manner;happy and excited;often because of someone else's bad luck; full of exultant joy; merry; delighted.
sportsmanship,"fair and generous behavior or treatment of others, especially in a sports contest."
repayment,the action of paying back a loan.
questionable,doubtful as regards truth or quality.
displacement,the moving of something from its place or position.
midshipman,a naval cadet in the US Navy. an American toadfish with dorsal and anal fins that run most of the length of the body and rows of light organs on the underside
reaction,a person's ability to respond physically and mentally to external stimuli.
horizon,the line at which the earth's surface and the sky appear to meet.
vertical,"at right angles to a horizontal plane; in a direction, or having an alignment, such that the top is directly above the bottom."
ascend,go up or climb.
nation,"a large aggregate of people united by common descent, history, culture, or language, inhabiting a particular country or territory."
special,"not ordinary or usual; better, greater, or otherwise different from what is usual."
lotion,"a thick, smooth liquid preparation designed to be applied to the skin for medicinal or cosmetic purposes."
mansion,"a large, impressive house."
precious,"(of an object, substance, or resource) of great value; not to be wasted or treated carelessly."
creation,the action or process of bringing something into existence.
vacation,"an extended period of recreation, especially one spent away from home or in traveling."
tension,the state of being stretched tight.
especially, better or greater than usual; (used to emphasize the importance of one thing among others of its type or to point to one thing among others) very; particularly.
motion,the action or process of moving or being moved.
tradition,"the transmission of customs or beliefs from generation to generation, or the fact of being passed on in this way."
gracious,"pleasant, kind, and polite;to show kindness;being kind, thoughtful and aware of others"
extension,a part that is added to something to enlarge or prolong it; a continuation.
addition,the action or process of adding something to something else.
caution,care taken to avoid danger or mistakes.
official,"relating to an authority or public body and its duties, actions, and responsibilities. a person holding public office or having official duties, especially as a representative of an organization or government department."
solution,a means of solving a problem or dealing with a difficult situation.
suspension,"the action of suspending someone or something or the condition of being suspended, in particular. the system of springs and shock absorbers by which a vehicle is cushioned from road conditions."
politician,"a person who is professionally involved in politics, especially as a holder of or a candidate for an elected office."
portion,"a part of a whole; an amount, section, or piece of something. divide (something) into shares to be distributed among two or more people."
borrow,take and use (something that belongs to someone else) with the intention of returning it.
hobby,an activity done regularly in one's leisure time for pleasure.
saddle,"a seat fastened on the back of a horse or other animal for riding, typically made of leather and raised at the front and rear. something resembling a saddle in appearance, function, or position, in particular."
shudder,"to tremble with a sudden convulsive movement, as from horror, fear, or cold."
exceed,"be greater in number or size than (a quantity, number, or other measurable thing)."
affect,have an effect on; make a difference to. To bring about a change in; to pretend to be or to have
calculate,to find the answer by using arithmetic;to figure out by reasoning.
climate,The average weather conditions of an area.
column,"A row of figures or words running down a printed page. A tall, usually stone support that holds up something."
decay,(of organic matter) rot or decompose through the action of bacteria and fungi. the state or process of rotting or decomposition.
forbid,Not allowed. to order not to do somethin.
grove,"a small wood, orchard, or group of trees."
limb,"an arm or leg of a person or four-legged animal, or a bird's wing.a large branch of a tree.a projecting landform such as a spur of a mountain range, or each of two or more such projections as in a forked peninsula or archipelago."
mammoth,very large;huge
mature,to become fully grown or developed; fully developed; adult.
permit,to allow; a written notice that allows a person to do something
resist,to refuse to give in; to withstand; to fight against.
scorch,to burn slightly; very hot
tower,to stand over or higher than what is around it; very high; tall
worry,give way to anxiety or unease; allow one's mind to dwell on difficulty or troubles.
parallel,"(of lines, planes, surfaces, or objects) side by side and having the same distance continously between them"
perpendicular,"at an angle of 90 degree to a given line, plane, or surface."
biography,"the story of the life of a person written by someone else, or the area of literature relating to books that describe such stories"
telescope,"an optical instrument designed to make distant objects appear nearer, containing an arrangement of lenses, or of curved mirrors and lenses, by which rays of light are collected and focused and the resulting image magnified."
photograph,"a picture made using a camera, in which an image is focused onto film or other light-sensitive material and then made visible and permanent by chemical treatment, or stored digitally."
